    ALARCON;(-73.121137, 7.126466)
*   (complejo de aptos) ALTOS DE CABECERA;7.129179,-73.110065
    ALVAREZ;7.127747,-73.109143
    ANTIGUO CAMPESTRE;7.110141,-73.111155 
    ANTONIA SANTOS;7.12295,-73.11947
    BOLARQUI;(-73.114022, 7.111366)
    BOLIVAR;(-73.118091, 7.118549)
*   (no aparece) CABECERA;
    CABECERA DEL LLANO;(-73.106735, 7.119319)
    CAFE MADRID;(-73.140815, 7.161674)
    CAMPO HERMOSO;(-73.138814, 7.104936)
    CENTRO;(-73.125493, 7.120003)
    CHAPINERO;(-73.171805, 7.101463)
    (fuera de bucaramanga) CHIMITA; 7.141429, -73.065484
    CHORRERAS DE DON JUAN
    CIUDAD BOLIVAR
    CIUDADELA REAL DE MINAS
*   (solo existe ciudadela real de minas) REAL DE MINAS
    (aparecen jardines de) COAVICONSA
    CONUCOS
    DIAMANTEN I
    SAN LUIS
    DIAMANTE II
    ASTURIAS
    EL PORVENIR
    EL PRADO
    EL TEJAR
*   (no aparece) PORTON DEL TEJAR
    FONTANA
    GAITAN
    GALAN
    GARCIA ROVIRA
    GIRARDOT
    (creado como granadas) GRANADA
    KENNEDY
    LA AURORA
    LA CEIBA
    LA CONCORDIA
    LA FLORESTA
    LA SALLE
    LA VICTORIA
    LA UNIVERSIDAD
    LAGOS DEL CACIQUE
    LAS DELICIAS
    LAS HAMACAS
    LOS CEDROS
    LOS NARANJOS
    MEJORAS PUBLICAS
    MODELO
    MUTUALIDAD
*   (urbanización no barrio) NUEVA FONTANA
    NUEVO SOTOMAYOR
*   (hay muchas opciones no se sabe cual puede ser) PORVENIR
    PROVENZA
    PUERTA DEL SOL
*   (no se reconoce) QUINTA DANIA
    RICAURTE
    LOS PINOS
    SAN ALONSO
    SAN FRANCISCO
    SAN RAFAEL
    SOTOMAYOR
    TERRAZAS
    TOLEDO PLATA
    UNIVERSIDAD
VIVEROS DE PROVENZA

EL PONCE,(-73.120187, 7.096659)
SAN LUIS,(-73.118742, 7.091622)
AFRICA,(-73.119505, 7.094867)
PABLO VI,(-73.119204, 7.096342)
N.N.,(-73.117979, 7.087906)
RICAURTE,(-73.116086, 7.107081)
LA VICTORIA,(-73.116644, 7.100617)
VIVEROS DE PROVENZA,(-73.11801, 7.080898)
URBANIZACION HACIENDA REAL,(-73.118447, 7.103735)
VEINTE DE JULIO,(-73.118093, 7.095412)
GABRIELA MISTRAL,(-73.112666, 7.09908)
SAN GERARDO I,(-73.118348, 7.102937)
NUEVO SOTO MAYOR,(-73.116938, 7.115648)
LA CEIBA,(-73.115005, 7.105093)
TORRES DE VERACRUZ,(-73.11767, 7.085872)
MEJORAS PUBLICAS,(-73.114638, 7.123139)
CONJUNTO RESIDENCIAL ARTEMISA,(-73.117128, 7.103744)
CONJUNTO RESIDENCIAL ARTEMISA 1,(-73.116846, 7.103271)
CUARTEL,(-73.114131, 7.138124)
URBANIZACION DIAMANTE II ETAPA,(-73.117028, 7.090985)
CONJUNTO RESIDENCIAL TORRES DE ASTURIAS,(-73.116817, 7.085051)
URBANIZACION DIAMANTE I ETAPA,(-73.116735, 7.091622)
GRANJAS DE PROVENZA,(-73.116507, 7.081621)
PUERTO RICO,(-73.114888, 7.140107)
BOLARQUI,(-73.114022, 7.111366)
SOTOMAYOR,(-73.113435, 7.116171)
GRANADA SUR,(-73.114349, 7.09691)
QUINTA DIANA,(-73.114228, 7.128307)
CONJUNTO LA VICTORIA,(-73.114294, 7.102919)
GALAN,(-73.111979, 7.129727)
MERCEDES,(-73.112138, 7.107756)
PUERTA DEL SOL,(-73.112032, 7.104678)
C. CONUCOS PLAZA,(-73.113623, 7.107177)
LA SALLE,(-73.112034, 7.101433)
ALVAREZ LAS AMERICAS,(-73.108332, 7.12737)
CONUCOS,(-73.110865, 7.105544)
QUINTA BRIGADA,(-73.1095, 7.130764)
CAMPESTRE,(-73.111471, 7.112801)
EL PRADO,(-73.110717, 7.123567)
VILLA CLAUDIA,(-73.111876, 7.091219)
CONJUNTO RESIDENCIAL NEPTUNO,(-73.111541, 7.096174)
CABECERA DEL LLANO,(-73.106735, 7.119319)
MULTIFAMILIARES DIAMANTE II ETAPA,(-73.110639, 7.093674)
LOS PINOS,(-73.109973, 7.136124)
C. TORRES DE LOS PINOS,(-73.111099, 7.137275)
APARTAMENTOS DE LA POLICIA,(-73.111109, 7.130452)
CONJUNTO RESIDENCIAL COLSEGUROS,(-73.110687, 7.094877)
SAN MARTIN,(-73.10963, 7.099274)
CONJUNTO TORRES DE ALEJANDRIA,(-73.109776, 7.09655)
VILLA DIAMANTE,(-73.110215, 7.095828)
N.N.,(-73.106026, 7.110339)
SOLDOS,(-73.1096, 7.101235)
MIRADORES DE SAN LORENZO,(-73.109058, 7.092714)
PORTO FINO,(-73.108811, 7.095557)
EL DIVISO,(-73.10446, 7.137536)
N.N.,(-73.108095, 7.092948)
VILLA DE LOS CONQUISTADORES,(-73.108549, 7.094641)
UNIDAD RESIDENCIAL CABELLANO,(-73.108569, 7.124514)
EL TEJAR,(-73.105783, 7.100815)
UNIDAD RESIDENCIAL CABECERA DE LA SIERVA,(-73.108644, 7.123732)
VEGAS DE MORRORICO,(-73.10766, 7.139085)
LOS SAUCES,(-73.10826, 7.134524)
LA CALLEJA,(-73.108103, 7.089214)
CONJUNTO CERRADO TORRES DEL TEJAR,(-73.10809, 7.09736)
DIAMANTE,(-73.107085, 7.092702)
LOS GUAYACANES,(-73.10742, 7.103957)
MORRORICO,(-73.106239, 7.133917)
PEDREGOSA,(-73.107208, 7.096206)
CONJUNTO RESIDENCIAL PORTON DE TEJAR,(-73.106555, 7.097175)
LA LIBERTAD,(-73.10718, 7.094514)
LA FLORESTA,(-73.105575, 7.106495)
VILLA INES,(-73.106138, 7.091314)
